product_id,product_name,category,subcategory,brand,supplier_id,standard_cost,list_price,unit_weight_lbs,hazmat_flag,temperature_controlled_flag,launch_date,product_status,_bronze_loaded_at_utc,_source_file
SKU0000016,Eco Computing Item 16,Electronics,Audio,Cobalt,SUP00064,11.21,17.23,2.155,N,Y,2024-03-28,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000017,Eco Beverage Item 17,Grocery,Snack,Aster,SUP00094,62.92,105.70,43.481,0,0,05/29/2023,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000018,Eco Basics Item 18,Apparel,Basics,Solace,SUP00039,77.50,117.57,60.732,0,Y,2025-04-02,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000019,Ultra Personal Care Item 19,Health,Wellness,Northline,SUP00020,61.36,154.89,54.296,Y,No,2021-05-16,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000020,Essential Organization Item 20,Office,Desk Setup,Solace,SUP00054,92.34,253.39,3.095,Y,N,2021-09-14,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000021,Essential Printing Item 21,Office,Desk Setup,Northline,SUP00115,247.69,601.16,41.815,Y,N,07/25/2023,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000022,Essential Basics Item 22,Apparel,Footwear,Solace,SUP_BAD,299.83,528.34,24.978,N,No,03/30/2025,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000023,Essential Fitness Item 23,Apparel,Fitness,Northline,SUP00100,247.82,549.00,21.779,0,Y,04/08/2022,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000024,Classic Footwear Item 24,Apparel,Outerwear,EverPeak,SUP00065,222.57,389.01,74.336,0,0,2024-11-24,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000025,Ultra Beverage Item 25,Grocery,Snack,Solace,SUP00049,190.45,269.42,11.061,0,No,10/02/2020,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000026,Premium Lighting Item 26,Home,Storage,Northline,SUP00095,161.10,226.38,24.055,N,0,2024-12-26,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000027,Eco Wellness Item 27,Health,Wellness,Cobalt,SUP00046,144.08,344.35,70.158,N,N,2026-01-19,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000028,Eco Personal Care Item 28,Health,Pharmacy,Solace,SUP00026,209.57,357.42,51.997,No,Y,2025-02-11,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000029,Compact Furniture Item 29,Home,Storage,Cobalt,SUP00042,185.38,238.54,49.233,0,Y,02/25/2025,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000030,Classic Footwear Item 30,Apparel,Basics,Nimbus,SUP00003,167.95,411.27,34.585,0,0,2026-02-06,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000031,Ultra Organization Item 31,office,Printing,Nimbus,SUP00093,81.03,194.27,43.778,No,Y,06/21/2020,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000032,Pro Pharmacy Item 32,Health,Wellness,Solace,SUP00039,111.82,176.01,71.288,N,N,04/13/2021,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000033,Essential Outerwear Item 33,Apparel,Footwear,Northline,SUP_BAD,,28.35,31.280,Y,0,08/31/2022,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000034,Eco Personal Care Item 34,Health,Pharmacy,Cobalt,SUP00108,185.14,345.47,33.573,0,N,2023-09-05,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000035,Classic Accessories Item 35,Electronics,Accessories,EverPeak,SUP00036,97.06,202.29,7.685,0,No,04/20/2025,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000036,Compact Desk Setup Item 36,Office,Printing,Northline,SUP00038,18.54,27.95,58.548,Y,N,12/24/2021,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000037,Premium Medical Supplies Item 37,health,Medical Supplies,Nimbus,SUP00008,32.94,69.22,2.375,N,0,06/17/2023,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000038,Eco Audio Item 38,Electronics,Computing,Nimbus,SUP00038,240.30,548.95,15.577,Y,No,2021-07-28,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000039,Eco Stationery Item 39,Office,Organization,Solace,SUP00042,186.43,388.31,63.871,0,N,04/13/2021,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000040,Classic Frozen Item 40,Grocery,Snack,Aster,SUP00018,287.52,385.91,40.011,Y,Y,2020-09-02,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000041,Premium Fitness Item 41,Apparel,Fitness,Solace,SUP00106,227.50,534.38,24.675,No,0,05/23/2025,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000042,Pro Outerwear Item 42,apparel,Basics,Nimbus,SUP00014,55.38,80.35,33.868,Y,No,2025-05-19,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000043,Pro Medical Supplies Item 43,Health,Medical Supplies,Cobalt,SUP00042,298.47,533.91,69.007,No,No,2020-03-09,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000044,Classic Furniture Item 44,Home,Lighting,EverPeak,SUP00050,154.80,417.16,23.756,Y,No,2022-03-10,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000045,Ultra Snack Item 45,Grocery,Frozen,Aster,SUP00009,212.28,332.77,11.114,N,Y,06/13/2024,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000046,Eco Footwear Item 46,Apparel,Fitness,Aster,SUP00079,3.14,8.67,28.989,Y,Y,04/29/2025,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000047,Essential Computing Item 47,Electronics,Accessories,Northline,SUP00049,62.67,132.92,22.666,0,0,2020-10-28,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000048,Classic Accessories Item 48,Electronics,Computing,Northline,SUP00054,245.28,662.92,57.052,N,No,2021-02-11,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000049,Pro Pharmacy Item 49,Health,Personal Care,Cobalt,SUP00064,163.72,442.21,3.479,No,No,06/22/2021,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000050,Classic Desk Setup Item 50,Office,Desk Setup,Cobalt,SUP00115,40.49,75.45,26.267,No,No,2025-05-20,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000051,Pro Personal Care Item 51,Health,Wellness,EverPeak,SUP00057,99.40,272.27,46.268,No,N,2020-06-27,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000052,Ultra Smart Home Item 52,Electronics,Smart Home,Solace,SUP00048,81.58,210.59,53.556,Y,Y,02/16/2021,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000053,Premium Lighting Item 53,Home,Furniture,Aster,SUP00097,104.27,128.13,64.808,0,No,2024-07-24,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000054,Eco Medical Supplies Item 54,Health,Pharmacy,EverPeak,SUP00095,44.17,61.85,50.647,Y,No,04/30/2021,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000055,Pro Accessories Item 55,Electronics,Computing,Solace,SUP00006,200.83,249.50,43.370,Y,0,02/07/2025,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000056,Eco Computing Item 56,Electronics,Accessories,EverPeak,SUP00069,,569.64,26.943,No,N,11/19/2022,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000057,Premium Basics Item 57,Apparel,Basics,EverPeak,SUP00038,193.77,260.71,24.797,Y,No,11/09/2024,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000058,Compact Organization Item 58,Office,Organization,Aster,SUP_BAD,170.69,448.59,3.828,Y,N,01/21/2025,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000059,Pro Desk Setup Item 59,Office,Organization,Aster,SUP00081,145.09,bad,40.671,0,No,05/19/2020,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000060,Classic Basics Item 60,Apparel,Fitness,Aster,SUP00020,,32.77,33.931,0,No,2023-07-27,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000061,Eco Beverage Item 61,Grocery,Beverage,Cobalt,SUP00022,234.26,451.94,70.204,0,Y,08/07/2020,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000062,Classic Footwear Item 62,Apparel,Footwear,Northline,SUP00097,242.15,528.00,73.339,0,N,2021-01-30,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000063,Ultra Lighting Item 63,Home,Storage,Aster,SUP00048,147.68,225.13,56.496,0,No,04/19/2024,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000064,Ultra Medical Supplies Item 64,Health,Wellness,EverPeak,SUP00038,136.31,291.67,43.280,Y,0,12/15/2022,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000065,Ultra Pantry Item 65,Grocery,Snack,Nimbus,SUP00033,90.37,251.42,11.073,0,No,03/17/2024,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000066,Premium Frozen Item 66,Grocery,Beverage,Solace,SUP00074,295.43,796.69,62.958,N,No,2026-01-01,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000067,Ultra Pharmacy Item 67,Health,Wellness,Northline,SUP00095,213.22,303.39,13.181,N,0,2020-09-03,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000068,Essential Lighting Item 68,Home,Furniture,Aster,SUP00052,198.90,383.07,16.753,No,Y,2023-04-26,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000069,Eco Storage Item 69,Home,Lighting,EverPeak,SUP00019,224.21,432.52,48.925,N,No,2023-01-17,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000070,Premium Stationery Item 70,Office,Organization,Nimbus,SUP00008,21.60,46.46,24.721,N,0,2026-01-28,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000071,Pro Basics Item 71,Apparel,Fitness,Cobalt,SUP00055,92.75,245.77,35.568,Y,0,2021-10-22,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000072,Pro Frozen Item 72,Grocery,Snack,Cobalt,SUP00117,156.32,362.29,51.098,0,No,07/11/2024,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000073,Ultra Desk Setup Item 73,Office,Organization,Nimbus,SUP00058,238.16,496.73,26.508,Y,0,12/12/2024,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000074,Pro Furniture Item 74,Home,Furniture,Aster,SUP00038,101.16,217.63,73.648,0,0,03/14/2024,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000075,Pro Frozen Item 75,Grocery,Beverage,Northline,SUP00079,21.18,38.35,30.309,N,N,04/09/2025,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000076,Eco Snack Item 76,Grocery,Frozen,Northline,SUP00113,64.98,169.75,28.155,N,N,10/13/2023,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000077,Eco Basics Item 77,Apparel,Basics,Cobalt,SUP00061,83.37,156.87,5.726,Y,0,2023-03-11,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000078,Pro Outerwear Item 78,Apparel,Footwear,Cobalt,SUP00028,106.21,139.11,67.943,0,N,04/24/2020,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000079,Premium Printing Item 79,Office,Stationery,Cobalt,SUP00053,175.49,216.55,55.374,Y,0,2021-10-18,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000080,Ultra Beverage Item 80,Grocery,Pantry,Solace,SUP00013,270.52,605.15,49.031,N,N,08/17/2021,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000081,Compact Storage Item 81,Home,Storage,Nimbus,SUP00008,227.93,566.44,0.786,N,N,02/08/2023,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000082,Eco Stationery Item 82,Office,Printing,Nimbus,SUP00029,122.49,248.33,0.703,No,0,2025-12-07,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000083,Eco Personal Care Item 83,Health,Wellness,Nimbus,SUP00066,244.15,609.81,52.119,N,N,03/02/2026,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000084,Compact Furniture Item 84,Home,Storage,EverPeak,SUP00012,192.04,408.75,8.062,N,Y,03/29/2023,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000085,Eco Storage Item 85,Home,Lighting,Nimbus,SUP00050,227.45,380.93,47.614,0,Y,08/04/2020,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000086,Eco Kitchen Item 86,Home,Kitchen,Aster,SUP00053,262.34,646.35,1.565,0,0,2022-06-30,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000087,Essential Wellness Item 87,Health,Personal Care,Nimbus,SUP00085,154.34,375.95,35.386,0,N,2024-03-26,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000088,Premium Lighting Item 88,Home,Lighting,Nimbus,SUP00111,254.15,584.97,60.990,Y,0,03/11/2023,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000089,Premium Desk Setup Item 89,Office,Organization,Solace,SUP00073,253.71,556.76,18.762,No,Y,2020-03-14,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000090,Ultra Computing Item 90,Electronics,Computing,Nimbus,SUP00089,238.51,661.08,0.408,0,0,2022-02-02,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000091,Ultra Snack Item 91,Grocery,Snack,Aster,SUP00050,82.29,210.47,6.207,0,N,11/19/2023,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000092,Pro Frozen Item 92,Grocery,Beverage,EverPeak,SUP00083,28.65,46.41,58.934,Y,Y,2024-01-18,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000093,Essential Fitness Item 93,Apparel,Outerwear,Aster,SUP00081,263.13,664.34,50.838,No,Y,2020-01-10,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000094,Classic Storage Item 94,Home,Lighting,Solace,SUP00051,1.93,4.80,31.122,0,No,2025-09-27,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000095,Pro Basics Item 95,Apparel,Fitness,Solace,SUP00023,129.07,322.48,10.845,No,N,04/11/2025,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000096,Pro Kitchen Item 96,Home,Storage,EverPeak,SUP00009,289.25,622.51,52.547,N,N,2020-02-18,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000097,Essential Medical Supplies Item 97,Health,Personal Care,Nimbus,SUP00026,95.66,258.50,61.343,No,Y,04/15/2021,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000098,Compact Smart Home Item 98,Electronics,Accessories,EverPeak,SUP00110,38.66,77.61,20.049,Y,Y,2020-06-29,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000099,Ultra Computing Item 99,Electronics,Computing,EverPeak,SUP00007,187.46,512.00,20.739,N,N,2023-05-13,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000100,Pro Frozen Item 100,Grocery,Snack,Solace,SUP00009,224.42,361.42,12.987,Y,Y,12/18/2023,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000101,Pro Medical Supplies Item 101,Health,Personal Care,Nimbus,SUP00073,95.80,251.13,12.686,Y,N,2024-01-22,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000102,Eco Wellness Item 102,Health,Pharmacy,Cobalt,SUP00081,66.95,178.84,11.574,No,N,2023-04-16,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000103,Compact Printing Item 103,Office,Printing,Nimbus,SUP00099,265.22,579.75,56.626,No,0,2023-09-12,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000104,Ultra Footwear Item 104,Apparel,Basics,Cobalt,SUP00061,155.06,339.59,62.760,0,Y,07/06/2025,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000105,Ultra Outerwear Item 105,Apparel,Footwear,Aster,SUP00080,116.35,324.81,13.743,No,Y,03/31/2022,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000106,Compact Snack Item 106,Grocery,Pantry,Nimbus,SUP00104,71.95,93.16,47.799,N,Y,10/24/2024,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000107,Eco Lighting Item 107,Home,Furniture,Aster,SUP00061,183.41,286.36,15.869,No,N,12/06/2025,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000108,Premium Storage Item 108,Home,Storage,Aster,SUP00088,256.05,571.51,67.366,0,N,10/21/2023,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000109,Ultra Stationery Item 109,Office,Printing,Solace,SUP00063,110.75,301.91,37.975,N,No,2021-02-20,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000110,Ultra Personal Care Item 110,Health,Pharmacy,Northline,SUP00032,170.29,463.45,62.387,No,Y,10/31/2025,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000111,Ultra Pantry Item 111,Grocery,Snack,Northline,SUP00102,13.92,38.51,7.907,No,Y,2020-12-03,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000112,Compact Accessories Item 112,Electronics,Computing,EverPeak,SUP00090,268.19,418.07,54.786,0,No,2025-01-07,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000113,Premium Printing Item 113,Office,Organization,Aster,SUP00032,122.37,187.68,66.322,Y,No,01/30/2025,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000114,Compact Frozen Item 114,Grocery,Snack,Cobalt,SUP00115,145.89,329.22,34.810,Y,N,2023-08-25,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000115,Premium Frozen Item 115,Grocery,Beverage,Cobalt,SUP00074,163.28,263.09,56.245,N,Y,06/05/2020,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000116,Essential Furniture Item 116,Home,Lighting,Northline,SUP00083,75.87,206.14,43.882,Y,0,11/15/2025,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000117,Ultra Wellness Item 117,Health,Pharmacy,Northline,SUP00093,8.84,10.65,73.231,0,N,2023-11-02,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000118,Compact Medical Supplies Item 118,Health,Pharmacy,EverPeak,SUP00104,285.17,429.65,9.835,N,No,05/02/2022,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000119,Eco Organization Item 119,Office,Stationery,Cobalt,SUP00046,103.26,247.24,4.114,Y,N,2020-02-25,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000120,Classic Audio Item 120,Electronics,Audio,Aster,SUP00064,249.11,304.79,47.204,N,0,01/21/2025,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000121,Classic Snack Item 121,Grocery,Frozen,Nimbus,SUP00070,256.62,683.25,10.902,0,N,2023-10-07,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000122,Premium Desk Setup Item 122,Office,Organization,Cobalt,SUP00102,100.15,155.35,8.128,0,No,09/08/2022,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000123,Premium Smart Home Item 123,Electronics,Smart Home,EverPeak,SUP00119,231.56,598.53,58.233,Y,N,2020-06-10,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000124,Classic Desk Setup Item 124,Office,Desk Setup,Northline,SUP00049,44.00,91.75,23.615,No,No,2025-08-28,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000125,Compact Stationery Item 125,Office,Stationery,Aster,SUP00111,173.82,414.04,19.884,N,N,2024-12-07,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000126,Premium Footwear Item 126,Apparel,Footwear,Aster,SUP00031,83.39,117.83,6.680,Y,N,2024-08-16,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000127,Essential Outerwear Item 127,Apparel,Outerwear,Nimbus,SUP00064,183.86,497.51,25.734,N,N,05/19/2024,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000128,Compact Smart Home Item 128,Electronics,Smart Home,Northline,SUP00023,219.71,287.67,39.798,0,N,07/11/2022,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000129,Eco Footwear Item 129,Apparel,Outerwear,Aster,SUP00031,27.24,68.55,35.978,0,0,2020-03-24,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000130,Essential Medical Supplies Item 130,Health,Pharmacy,Nimbus,SUP00066,291.40,759.23,5.941,0,Y,2022-05-21,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000131,Ultra Footwear Item 131,Apparel,Fitness,Nimbus,SUP00006,25.77,57.87,22.594,Y,Y,09/08/2025,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000132,Ultra Printing Item 132,Office,Desk Setup,Nimbus,SUP00039,278.50,514.43,37.987,0,0,2025-01-02,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000133,Eco Medical Supplies Item 133,Health,Wellness,Aster,SUP00021,192.78,258.46,61.521,0,No,06/12/2023,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000134,Eco Fitness Item 134,Apparel,Fitness,Aster,SUP00088,220.35,502.93,6.319,Y,N,2025-07-28,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000135,Compact Computing Item 135,Electronics,Audio,Solace,SUP00109,18.79,31.74,18.566,Y,N,2023-11-28,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000136,Premium Basics Item 136,Apparel,Footwear,EverPeak,SUP00034,92.53,229.74,47.107,No,No,2021-01-10,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000137,Pro Basics Item 137,Apparel,Basics,EverPeak,SUP00104,115.65,295.88,69.314,Y,No,2025-07-17,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000138,Classic Pharmacy Item 138,Health,Wellness,Cobalt,SUP00024,260.54,316.69,58.929,0,No,11/11/2021,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
